Serial No.,Timestamp,Temperature (°C),Humidity (%),CO2 (PPM),PM 1 (µg/m³),PM 2.5 (µg/m³),PM 10 (µg/m³)
414,2026-04-15 16:01:14,32.8,58.0,,,,
415,2026-04-15 16:01:19,32.8,58.0,,,,
416,2026-04-15 16:01:24,32.8,58.0,,,,
417,2026-04-15 16:01:29,32.8,58.0,,,,
418,2026-04-15 16:01:34,32.8,58.0,,,,
419,2026-04-15 16:01:42,32.8,58.0,,,,
420,2026-04-15 16:01:44,32.8,58.0,,,,
421,2026-04-15 16:01:50,32.8,58.0,,,,
422,2026-04-15 16:01:57,32.8,58.0,,,,
423,2026-04-15 16:01:59,32.8,58.0,,,,
424,2026-04-15 16:02:04,32.8,58.0,,,,
425,2026-04-15 16:02:09,32.8,58.0,,,,
426,2026-04-15 16:02:14,32.8,58.0,,,,
427,2026-04-15 16:02:19,32.8,58.0,,,,
428,2026-04-15 16:02:24,32.8,58.0,,,,
429,2026-04-15 16:02:29,32.8,58.0,,,,
430,2026-04-15 16:02:34,32.8,58.0,,,,
431,2026-04-15 16:02:39,32.8,58.0,,,,
432,2026-04-15 16:02:44,32.8,58.0,,,,
433,2026-04-15 16:02:49,32.8,58.0,,,,
434,2026-04-15 16:02:54,32.8,58.0,,,,
435,2026-04-15 16:02:59,32.8,58.0,,,,
436,2026-04-15 16:03:04,32.8,58.0,,,,
437,2026-04-15 16:03:09,32.8,58.0,,,,
438,2026-04-15 16:03:14,32.8,58.0,,,,
439,2026-04-15 16:03:19,32.8,58.0,,,,
440,2026-04-15 16:03:24,32.8,58.0,,,,
441,2026-04-15 16:03:29,32.8,58.0,,,,
442,2026-04-15 16:03:34,32.8,58.0,,,,
443,2026-04-15 16:03:39,32.8,57.0,,,,
444,2026-04-15 16:03:44,32.8,57.0,,,,
445,2026-04-15 16:03:49,32.8,57.0,,,,
446,2026-04-15 16:03:54,32.8,57.0,,,,
447,2026-04-15 16:03:59,32.8,57.0,,,,
448,2026-04-15 16:04:04,32.8,57.0,,,,
449,2026-04-15 16:04:09,32.8,57.0,,,,
450,2026-04-15 16:04:14,32.8,57.0,,,,
451,2026-04-15 16:04:19,32.8,57.0,,,,
452,2026-04-15 16:04:24,32.8,57.0,,,,
453,2026-04-15 16:04:29,32.8,57.0,,,,
454,2026-04-15 16:04:34,32.8,57.0,,,,
455,2026-04-15 16:04:39,32.8,57.0,,,,
456,2026-04-15 16:04:44,32.8,57.0,,,,
457,2026-04-15 16:04:49,32.8,57.0,,,,
458,2026-04-15 16:04:54,32.8,57.0,,,,
459,2026-04-15 16:04:59,32.8,57.0,,,,
460,2026-04-15 16:05:04,32.8,57.0,,,,
461,2026-04-15 16:05:09,32.8,57.0,,,,
462,2026-04-15 16:05:14,32.8,57.0,,,,
463,2026-04-15 16:05:19,32.8,57.0,,,,
464,2026-04-15 16:05:24,32.8,57.0,,,,
465,2026-04-15 16:05:29,32.8,57.0,,,,
466,2026-04-15 16:05:34,32.8,57.0,,,,
467,2026-04-15 16:05:39,32.8,57.0,,,,
468,2026-04-15 16:05:44,32.8,57.0,,,,
469,2026-04-15 16:05:49,32.8,57.0,,,,
470,2026-04-15 16:05:54,32.8,57.0,,,,
471,2026-04-15 16:05:59,32.8,57.0,,,,
472,2026-04-15 16:06:04,32.8,57.0,,,,
473,2026-04-15 16:06:09,32.8,57.0,,,,
474,2026-04-15 16:06:14,32.8,57.0,,,,
475,2026-04-15 16:06:19,32.8,57.0,,,,
476,2026-04-15 16:06:24,32.8,57.0,,,,
477,2026-04-15 16:06:29,32.8,57.0,,,,
478,2026-04-15 16:06:34,32.8,57.0,,,,
479,2026-04-15 16:06:39,32.8,57.0,,,,
480,2026-04-15 16:06:44,32.8,57.0,,,,
481,2026-04-15 16:06:49,32.8,57.0,,,,
482,2026-04-15 16:06:54,32.8,57.0,,,,
483,2026-04-15 16:06:59,32.8,57.0,,,,
484,2026-04-15 16:07:04,32.8,57.0,,,,
485,2026-04-15 16:07:09,32.8,57.0,,,,
486,2026-04-15 16:07:14,32.8,57.0,,,,
487,2026-04-15 16:07:19,32.8,57.0,,,,
488,2026-04-15 16:07:24,32.8,57.0,,,,
489,2026-04-15 16:07:29,32.8,57.0,,,,
490,2026-04-15 16:07:34,32.8,57.0,,,,
491,2026-04-15 16:07:39,32.8,57.0,,,,
